동별(1),동별(2),동별(3),2019,2020,2021,2022,2023
동별(1),동별(2),동별(3),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢),인구밀도 (명/㎢)
합계,도봉구,방학3동,10902,10677,10347,10115,9983
합계,도봉구,창1동,29853,28864,28213,27843,27527
합계,도봉구,창2동,28503,28488,27940,27578,27112
합계,도봉구,창3동,22055,21496,20781,20348,19846
합계,도봉구,창4동,29034,28722,27982,27496,27664
합계,도봉구,창5동,36860,36154,35299,34776,34317
합계,도봉구,도봉1동,2557,2501,2432,2365,2318
합계,도봉구,도봉2동,34551,33639,32484,31758,31513
합계,노원구,소계,15162,14872,14530,14335,14191
합계,노원구,월계1동,20589,19901,19172,18603,18361
합계,노원구,월계2동,14066,14235,13765,13436,13218
합계,노원구,월계3동,27003,26316,25700,25115,24691
합계,노원구,공릉2동,6022,5918,6012,6237,6211
합계,노원구,하계1동,18906,18042,17443,17408,17241
합계,노원구,하계2동,45722,44555,43204,42435,41900
합계,노원구,중계본동,13135,12661,12187,11917,11742
합계,노원구,중계1동,44541,43740,42662,42190,41944
합계,노원구,중계4동,12544,12207,11750,11530,11356
합계,노원구,상계1동,7139,6976,6810,6736,6583
합계,노원구,상계2동,34787,33921,33021,32179,31584
합계,노원구,상계5동,57916,56357,23839,23502,22928
합계,노원구,상계8동,35751,34273,33728,33349,32675
합계,노원구,상계9동,27060,26199,25344,24779,24384
합계,노원구,상계10동,20774,22039,23414,23096,22808
합계,노원구,상계3·4동,4594,4837,5202,5015,5467
합계,노원구,상계6·7동,31214,30308,29526,28868,28437
합계,노원구,중계2·3동,40848,39540,38140,37219,36242
합계,노원구,공릉1동,27688,27180,26438,26372,26016
합계,은평구,소계,16308,16292,16061,15838,15849
합계,은평구,녹번동,21459,21126,20762,20606,20397
합계,은평구,불광1동,13073,12787,12389,12225,12043
합계,은평구,갈현1동,25295,24120,22760,17681,15097
합계,은평구,갈현2동,31406,30457,29736,29350,28869
합계,은평구,구산동,24496,23911,23525,23203,22944
합계,은평구,대조동,32835,32446,32005,31602,32656
합계,은평구,응암1동,21378,26054,27739,27733,27474
합계,은평구,응암2동,32649,35610,36035,35918,35313
합계,은평구,신사1동,34012,33067,32418,32124,31771
합계,은평구,신사2동,21875,20945,20330,19497,19101
합계,은평구,증산동,19965,19120,18560,23021,22735
합계,은평구,수색동,6940,8727,9885,10240,15938
합계,은평구,진관동,5031,4966,4858,4773,4736
합계,은평구,불광2동,21414,20826,20143,19768,19545
합계,은평구,응암3동,41398,40560,39106,38592,37813
합계,은평구,역촌동,41802,40465,39441,38779,38109
합계,서대문구,소계,18335,18322,17908,18129,18190
합계,서대문구,천연동,19282,18607,17896,17558,17308
합계,서대문구,홍제1동,20323,20003,19454,20060,20292
합계,서대문구,홍제3동,20272,15222,19109,22086,22027
합계,서대문구,홍제2동,13876,17696,13144,12793,12649
합계,서대문구,홍은1동,14495,14725,14515,14446,14184
합계,서대문구,홍은2동,13783,13463,13215,13349,14269
합계,서대문구,남가좌1동,33173,31649,30641,33106,33190
합계,서대문구,남가좌2동,33697,40255,40009,39621,39461
합계,서대문구,북가좌1동,34836,33740,32947,32371,32142
합계,서대문구,북가좌2동,40250,39223,37968,37195,36936
합계,서대문구,충현동,16172,18954,18536,18139,17989
합계,서대문구,북아현동,38098,36861,35296,34511,34252
합계,서대문구,신촌동,9267,8765,9034,9940,10208
합계,서대문구,연희동,13554,12821,12372,12271,12193
합계,마포구,소계,16180,16011,15878,15745,15727
합계,마포구,용강동,26715,26496,26236,25936,25764
합계,마포구,대흥동,15426,18233,18216,18594,18488
합계,마포구,염리동,31363,29236,40130,40075,41079
합계,마포구,신수동,30612,30264,29274,29067,28841
합계,마포구,서교동,15756,16352,16090,16166,15975
합계,마포구,합정동,11135,10800,10261,9921,9892
합계,마포구,망원1동,19342,18684,18010,17484,17083
합계,마포구,망원2동,28934,28681,28006,27536,27097
합계,마포구,연남동,26489,26066,24842,24380,23369
합계,마포구,성산1동,25205,24599,24058,23849,23684
합계,마포구,성산2동,20063,19647,19280,19082,18888
합계,마포구,상암동,3915,3809,3747,3671,3621
합계,마포구,도화동,36442,35481,34502,34061,33708
합계,마포구,서강동,18043,17508,17655,17639,17521
합계,마포구,공덕동,40108,38366,37418,37105,36755
합계,마포구,아현동,33366,34501,33797,34453,38563
합계,양천구,소계,26559,26301,25882,25509,25236
합계,양천구,목1동,22818,22501,21903,21657,21574
합계,양천구,목2동,30560,29811,29261,28778,28250
합계,양천구,목3동,43575,42723,41466,40979,40368
합계,양천구,목4동,47209,45947,44814,43891,43191
합계,양천구,신월1동,33497,32686,31835,31297,30282
합계,양천구,신월2동,36272,35279,34130,33720,34334
합계,양천구,신월3동,19217,18351,17669,17166,16628
합계,양천구,신월4동,36588,35552,34638,34035,33760
합계,양천구,신월5동,22565,22013,21377,20958,20464
합계,양천구,신월6동,16134,33654,34012,33698,33968
합계,양천구,신월7동,18153,17354,16737,16134,15808
합계,양천구,신정1동,30896,30106,29267,28517,28314
합계,양천구,신정2동,39779,38860,37685,36544,36287
합계,양천구,신정3동,17703,17201,18375,18598,18342
합계,양천구,신정6동,26358,26081,25575,25158,24984
합계,양천구,신정7동,25540,24855,24108,23619,23497
합계,양천구,목5동,23728,23364,22822,22507,22551
합계,양천구,신정4동,35229,33852,33013,32729,32081
합계,강서구,소계,14438,14140,13986,13862,13723
합계,강서구,염창동,24471,24148,24002,23924,23845
합계,강서구,등촌1동,40198,38028,38181,39048,39350
합계,강서구,등촌2동,23770,23061,22199,21582,21175
합계,강서구,등촌3동,41147,40076,38878,38006,37438
합계,강서구,화곡본동,32359,35695,35318,34817,34027
합계,강서구,화곡2동,41462,41616,40213,39522,38573
합계,강서구,화곡3동,44529,41392,40870,40760,40115
합계,강서구,화곡4동,26883,26113,25390,25017,24411
합계,강서구,화곡6동,22427,22642,22609,22795,23636
합계,강서구,화곡8동,50017,48442,46772,46066,45072
합계,강서구,가양1동,7267,7349,7318,7310,7265
합계,강서구,가양2동,15140,14588,14109,13902,13539
합계,강서구,가양3동,16363,31166,30276,29356,28414
합계,강서구,발산1동,13009,12765,12439,12325,12230
합계,강서구,공항동,2600,2542,2896,2845,2763
합계,강서구,방화1동,43912,30101,29176,28953,28570
