동별(1),동별(2),동별(3),2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
동별(1),동별(2),동별(3),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢),인구 (명),면적 (㎢),인구밀도 (명/㎢)
합계,성동구,성수2가1동,17722,1.18,15019,17146,1.17,14655,16279,1.17,13914,15716,1.17,13432,15079,1.17,12888
합계,성동구,성수2가3동,11682,1.03,11342,11457,1.03,11123,10985,1.03,10665,10520,1.03,10214,10312,1.03,10012
합계,성동구,송정동,11428,0.75,15237,11143,0.75,14857,10915,0.75,14553,10464,0.75,13952,10131,0.75,13508
합계,성동구,용답동,13290,2.32,5728,12724,2.31,5508,12568,2.31,5441,12551,2.31,5433,13013,2.31,5633
합계,성동구,왕십리도선동,27767,0.72,38565,27588,0.72,38317,26910,0.72,37375,26903,0.72,37365,26739,0.72,37138
합계,성동구,금호2·3가동,24171,0.64,37767,23584,0.64,36850,22909,0.64,35795,22423,0.64,35036,22130,0.64,34578
합계,성동구,옥수동,27222,1.95,13960,26912,1.94,13872,26309,1.94,13561,25843,1.94,13321,25650,1.94,13222
합계,광진구,소계,366972,17.06,21507,360109,17.06,21105,352627,17.06,20666,351252,17.06,20586,351180,17.06,20582
합계,광진구,화양동,25537,1.16,22015,25541,1.16,22018,26034,1.16,22443,27082,1.16,23347,27645,1.16,23832
합계,광진구,군자동,22109,0.74,29877,21903,0.74,29599,21500,0.74,29054,21524,0.74,29086,21465,0.74,29007
합계,광진구,중곡1동,16287,0.62,26269,16190,0.62,26113,15862,0.62,25584,15663,0.62,25263,15691,0.62,25308
합계,광진구,중곡2동,22564,0.55,41025,22285,0.55,40518,21739,0.55,39525,21336,0.55,38793,20882,0.55,37967
합계,광진구,중곡3동,17315,0.6,28858,16902,0.6,28170,16357,0.6,27262,16177,0.6,26962,16008,0.6,26680
합계,광진구,중곡4동,30516,2.32,13153,29815,2.32,12851,28954,2.32,12480,28405,2.32,12244,28006,2.32,12072
