"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20241120","경인선","동인천","14371","13390","20241123"
"20241120","9호선","동작(현충원)","2040","1702","20241123"
"20241120","4호선","동작(현충원)","1538","1650","20241123"
"20241120","경부선","두정","8641","9515","20241123"
"20241120","5호선","둔촌동","10020","10231","20241123"
"20241120","9호선2~3단계","둔촌오륜","1407","1393","20241123"
"20241120","9호선","등촌","14124","13472","20241123"
"20241120","6호선","디지털미디어시티","17525","18899","20241123"
"20241120","공항철도 1호선","디지털미디어시티","16406","15317","20241123"
"20241120","경의선","디지털미디어시티","3009","2834","20241123"
"20241120","2호선","뚝섬","27986","29953","20241123"
"20241120","5호선","마곡","13319","13455","20241123"
"20241120","9호선","마곡나루(서울식물원)","15545","15209","20241123"
"20241120","공항철도 1호선","마곡나루(서울식물원)","12846","12017","20241123"
"20241120","일산선","마두","8623","8909","20241123"
"20241120","7호선","마들","15283","14585","20241123"
"20241120","경춘선","마석","4342","4232","20241123"
"20241120","5호선","마장","6917","6453","20241123"
"20241120","5호선","마천","8509","7618","20241123"
"20241120","5호선","마포","17150","17499","20241123"
"20241120","6호선","마포구청","16924","15355","20241123"
"20241120","중앙선","망우","8250","7899","20241123"
"20241120","6호선","망원","16328","17164","20241123"
"20241120","경원선","망월사","10088","10267","20241123"
"20241120","분당선","망포","17076","16768","20241123"
"20241120","분당선","매교","5930","5824","20241123"
"20241120","3호선","매봉","14927","14512","20241123"
"20241120","분당선","매탄권선","6179","5981","20241123"
"20241120","7호선","먹골","11001","11018","20241123"
"20241120","7호선","면목","17206","16214","20241123"
"20241120","4호선","명동","37577","39249","20241123"
"20241120","5호선","명일","9444","9623","20241123"
"20241120","경부선","명학","10445","10384","20241123"
"20241120","분당선","모란","20469","20945","20241123"
"20241120","8호선","모란","5425","4071","20241123"
"20241120","5호선","목동","18370","19998","20241123"
"20241120","8호선","몽촌토성(평화의문)","8196","8307","20241123"
"20241120","3호선","무악재","5037","4937","20241123"
"20241120","2호선","문래","26592","27199","20241123"
"20241120","경의선","문산","5393","5377","20241123"
"20241120","8호선","문정","25997","27262","20241123"
"20241120","분당선","미금","16691","17552","20241123"
"20241120","5호선","미사","20093","20149","20241123"
"20241120","4호선","미아(서울사이버대학)","17834","17447","20241123"
"20241120","4호선","미아사거리","29069","28688","20241123"
"20241120","안산선","반월","4751","4627","20241123"
